cs_id,norad,constellation,label,status
301,62339,GPS,GPS-III-7,SAR
302,28474,GPS,GPS BIIR-13,SAR
303,40294,GPS,GPS BIIF-8,SAR
304,43873,GPS,GPS-III-1,SAR
306,39741,GPS,GPS BIIF-6,SAR
308,40730,GPS,GPS IIF-10,SAR
309,40105,GPS,GPS BIIF-7,SAR
310,41019,GPS,GPS IIF-11,SAR
311,48859,GPS,GPS-III-5,SAR
312,29601,GPS,GPS BIIRM-3,SAR
314,46826,GPS,GPS-III-4,SAR
315,32260,GPS,GPS BIIRM-4,SAR
316,27663,GPS,GPS BIIR-8,SAR
317,28874,GPS,GPS BIIRM-1,SAR
318,44506,GPS,GPS-III-2,SAR
319,28190,GPS,GPS BIIR-11,SAR
321,64202,GPS,GPS BIII-8,SAR
323,45854,GPS,GPS-III-3,SAR
324,38833,GPS,GPS BIIF-3,SAR
326,40534,GPS,GPS IIF-9,SAR
327,39166,GPS,GPS BIIF-4,SAR
328,55268,GPS,GPS-III-6,SAR
329,32384,GPS,GPS BIIRM-5,SAR
330,39533,GPS,GPS BIIF-5,SAR
332,41328,GPS,GPS IIF-12,SAR
402,41549,Galileo,GSAT0211,SAR
403,41860,Galileo,GSAT0212,SAR
404,41861,Galileo,GSAT0213,SAR
405,41862,Galileo,GSAT0214,SAR
406,59600,Galileo,GSAT0227,SAR
407,41859,Galileo,GSAT0207,SAR
408,41175,Galileo,GSAT0208,SAR
409,41174,Galileo,GSAT0209,SAR
410,49810,Galileo,GSAT0224,SAR
413,43567,Galileo,GSAT0220,SAR
414,40129,Galileo,GSAT0202,SAR
415,43564,Galileo,GSAT0221,SAR
416,61182,Galileo,GSAT0232,SAR
418,40128,Galileo,GSAT0201,SAR
419,38857,Galileo,GSAT0103,SAR
421,43055,Galileo,GSAT0215,SAR
423,61183,Galileo,GSAT0226,SAR
425,43056,Galileo,GSAT0216,SAR
426,40544,Galileo,GSAT0203,SAR
427,43057,Galileo,GSAT0217,SAR
428,67160,Galileo,GSAT0233,SAR
429,59598,Galileo,GSAT0225,SAR
430,40890,Galileo,GSAT0206,SAR
431,43058,Galileo,GSAT0218,SAR
432,67162,Galileo,GSAT0234,UT
433,43565,Galileo,GSAT0222,SAR
434,49809,Galileo,GSAT0223,SAR
436,43566,Galileo,GSAT0219,SAR
502,40315,GLONASS,Glonass-K1-#2,SAR
503,46805,GLONASS,Glonass-K1-#3,SAR
504,52984,GLONASS,Glonass-K1-#4,SAR
505,57517,GLONASS,Glonass-K2-#1,SAR
506,63130,GLONASS,Glonass-K2-#2,SAR
631,44793,BDS,BD-3 M22,SAR
632,43622,BDS,BD-3 M13,SAR
633,43623,BDS,BD-3 M14,SAR
638,44794,BDS,BD-3 M21,SAR
639,44543,BDS,BD-3 M23,SAR
640,44542,BDS,BD-3 M24,SAR
